arquivo_origem,tela,tipo_registro,descricao,data_exibida,valor_exibido,status_exibido,parcela_exibida,detalhe_exibido,observacao
1000274382.jpg,FREE MASTERCARD,lancamento,AMAZON BR,20/jul./2026,R$ 33,90,Autorizada,,,
1000274382.jpg,FREE MASTERCARD,lancamento,MIGUEL PIZZAS E LANCHE,19/jul./2026,R$ 15,89,Autorizada,,,
1000274382.jpg,FREE MASTERCARD,lancamento,DROGARIA POVAO 14,17/jul./2026,R$ 28,78,Autorizada,,,
1000274381.jpg,FREE MASTERCARD,lancamento,AIRBNB . HMZCBC,28/jul./2026,R$ 380,16,Cancelada,COMPRA PARCELADA,,
1000274381.jpg,FREE MASTERCARD,lancamento,UniversidadeDo,28/jul./2026,R$ 8,00,Autorizada,,,Nome aparece truncado no print.
1000274381.jpg,FREE MASTERCARD,lancamento,JONAS FERREIRA RODRIG,27/jul./2026,R$ 33,50,Autorizada,,,Nome aparece truncado no print.
1000274381.jpg,FREE MASTERCARD,lancamento,WPS*Paroquia Santo Ant,27/jul./2026,R$ 29,00,Autorizada,,,
1000274381.jpg,FREE MASTERCARD,lancamento,EMISE BOA VISTA,25/jul./2026,R$ 96,85,Autorizada,,,
1000274381.jpg,FREE MASTERCARD,lancamento,NETFLIX.COM,25/jul./2026,R$ 59,90,Autorizada,,,
1000274381.jpg,FREE MASTERCARD,lancamento,PIX Olivia Castro Co,25/jul./2026,R$ 19,12,Autorizada,01/02,,
1000274380.jpg,FREE MASTERCARD,lancamento,JONAS FERREIRA RODRIG,29/jul./2026,R$ 8,00,Autorizada,,,Nome aparece truncado no print.
1000274380.jpg,FREE MASTERCARD,lancamento,UniversidadeDo,29/jul./2026,R$ 8,00,Autorizada,,,Nome aparece truncado no print.
1000274380.jpg,FREE MASTERCARD,lancamento,MIGUEL PIZZAS E LANCHE,28/jul./2026,R$ 64,26,Autorizada,,,
1000274380.jpg,FREE MASTERCARD,lancamento,REDEGASVR,28/jul./2026,R$ 26,00,Autorizada,,,
1000274380.jpg,FREE MASTERCARD,lancamento,SERGIO RICARDO DAS GRA,28/jul./2026,R$ 39,80,Autorizada,,,Nome aparece truncado no print.
1000274380.jpg,FREE MASTERCARD,lancamento,AIRBNB . HMZCBC,28/jul./2026,R$ 380,16,Cancelada,COMPRA PARCELADA,,Repetido em outro print deste mesmo lote.
1000274380.jpg,FREE MASTERCARD,lancamento,UniversidadeDo,28/jul./2026,R$ 8,00,Autorizada,,,Repetido em outro print deste mesmo lote; nome aparece truncado.
1000274406.jpg,Plano de pagamento,lancamento,Plano de pagamento,08 set 2026,"R$ 1.048,51",Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274406.jpg,Plano de pagamento,lancamento,Plano de pagamento,07 out 2026,"R$ 1.048,51",Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274406.jpg,Plano de pagamento,lancamento,Plano de pagamento,09 nov 2026,R$ 709,22,Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274406.jpg,Plano de pagamento,lancamento,Plano de pagamento,07 dez 2026,R$ 709,22,Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274407.jpg,Plano de pagamento,lancamento,Plano de pagamento,07 jan 2027,R$ 709,22,Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274407.jpg,Plano de pagamento,lancamento,Plano de pagamento,10 fev 2027,R$ 709,22,Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274407.jpg,Plano de pagamento,lancamento,Plano de pagamento,08 mar 2027,R$ 709,22,Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
1000274407.jpg,Plano de pagamento,lancamento,Plano de pagamento,07 abr 2027,R$ 709,22,Pendente,,,Repetido em print anterior; nova ocorrência de fonte.
