data,descricao_original,valor,categoria,estabelecimento,parcela,cartao_origem,competencia,fonte,observacao
2026-08-03,SHOPEE *AquaPremiumU,38.56,,SHOPEE *AquaPremiumU,1/2,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-03,CAFE MADRI,25.00,,CAFE MADRI,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-03,LOJAS AMERICANAS 1197,31.98,,LOJAS AMERICANAS 1197,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-03,GENATURAL,7.60,,GENATURAL,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-03,GENATURAL,43.22,,GENATURAL,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-02,TAIPA DE FOGAO,117.83,,TAIPA DE FOGAO,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-02,PDV*LOJA.CANCAO,66.50,,PDV*LOJA.CANCAO,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-02,SOL E NEVE CACHOEIRA,21.00,,SOL E NEVE CACHOEIRA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-02,COMUNIDADE CANCAO NOVA,7.00,,COMUNIDADE CANCAO NOVA,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-01,VMT*CAFE EM C,7.50,,VMT*CAFE EM C,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-01,MP *30604900ROBERLEY D,20.00,,MP *30604900ROBERLEY D,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-01,AmiltonCesar,40.00,,AmiltonCesar,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-08-01,VMT*CAFE EM C,16.00,,VMT*CAFE EM C,,FREE MASTERCARD,2026-08,prints_chatgpt_2026-08-16,
2026-07-31,30.604.900 ROBERLEY D,67.00,,30.604.900 ROBERLEY D,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-31,M F DA SILVA NETTO FON,17.50,,M F DA SILVA NETTO FON,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-30,SANTUARIO DIOCESANO CO,6.00,,SANTUARIO DIOCESANO CO,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-30,SANTUARIO DE ADORACAO,87.00,,SANTUARIO DE ADORACAO,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-29,CHAMBELY SORVETERIA E,16.48,,CHAMBELY SORVETERIA E,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-29,J M S RESTAURANTE E LA,20.12,,J M S RESTAURANTE E LA,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-29,JONAS FERREIRA RODRIG,8.00,,JONAS FERREIRA RODRIG,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-29,UniversidadeDo,8.00,,UniversidadeDo,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-28,MIGUEL PIZZAS E LANCHE,64.26,,MIGUEL PIZZAS E LANCHE,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-28,REDEGASVR,26.00,,REDEGASVR,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-28,SERGIO RICARDO DAS GRA,39.80,,SERGIO RICARDO DAS GRA,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-28,AIRBNB . HMZCBC,380.16,,AIRBNB . HMZCBC,sim,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Transação cancelada — não considerar como gasto efetivo.
2026-07-28,UniversidadeDo,8.00,,UniversidadeDo,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-27,JONAS FERREIRA RODRIG,33.50,,JONAS FERREIRA RODRIG,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,Nome do estabelecimento aparece truncado no print.
2026-07-27,WPS*Paroquia Santo Ant,29.00,,WPS*Paroquia Santo Ant,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-25,EMISE BOA VISTA,96.85,,EMISE BOA VISTA,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-25,NETFLIX.COM,59.90,,NETFLIX.COM,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-25,PIX Olivia Castro Co,19.12,,PIX Olivia Castro Co,1/2,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-21,REDEGASVR,13.00,,REDEGASVR,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-20,ZP.L M COMERCIO DE DOC,32.46,,ZP.L M COMERCIO DE DOC,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-20,AMAZON BR,33.90,,AMAZON BR,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-19,MIGUEL PIZZAS E LANCHE,15.89,,MIGUEL PIZZAS E LANCHE,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
2026-07-17,DROGARIA POVAO 14,28.78,,DROGARIA POVAO 14,,FREE MASTERCARD,2026-07,prints_chatgpt_2026-08-16,
